ids,date,user,replyCount,retweetCount,likeCount,lang,tweet,country,Emotion
1.51e+18,2022-04-08 15:55:47+00:00,A_L_E_X_V_E_G_A,0,0,0,en,Ukraine war disruptions send food prices to their highest ever https://t.co/FMOmKJdz25 via @AJEnglish,Ukraine,neutral
1.51e+18,2022-04-08 15:55:46+00:00,CharleneFFreem1,0,0,0,en,"💥HOW CAN THIS BE POSSIBLE ???
PUTIN &amp; HIS SAVAGE MISFITS ARE SLAUGHTERING INNOCENT PEOPLE IN UKRAINE. THERE IS ABSOLUTE PROOF. https://t.co/oShNSc2uJq",Ukraine,neutral
1.51e+18,2022-04-08 15:55:46+00:00,Harvard_Europe,0,0,0,en,"We recently hosted a conversation on ""Germany and Europe’s Reaction to the Ukraine Crisis: Implications for the West"" with @ischinger, @D_Schwarzer, &amp;  @Joe_Nye, moderated by Karl Kaiser. 

""Was Feb 24 a turning point in Europe? Absolutely.""

WATCH: https://t.co/SCTpe8jaVw",Ukraine,neutral
1.51e+18,2022-04-08 15:55:46+00:00,liamwes19,1,0,0,en,The president of Russia Putin has broken the core principles of international law by invading Ukraine. #jm4006 #tweetexcercisetwo,Ukraine,neutral
1.51e+18,2022-04-08 15:55:45+00:00,berbacurr,0,0,0,en,@Caucasuswar Second strongest military in the world or just second strongest military in Ukraine? 🤔,Ukraine,curiosity
1.51e+18,2022-04-08 15:55:45+00:00,cbunsduckman,0,0,0,en,"@TGTM_Official oh, and Ukraine.",Ukraine,neutral
1.51e+18,2022-04-08 15:55:45+00:00,ChrisJustice01,0,0,0,en,@systemkallops @IAPonomarenko Russia invaded Ukraine. Putin is a war criminal committing atrocities on innocent civilians. Stop Putin. Stand with Ukraine.,Ukraine,anger
1.51e+18,2022-04-08 15:55:45+00:00,liamwes19,1,0,0,en,The 24th of February is when the Russians invaded Ukraine and started this horrible war. #jm4006 #tweetexcercisetwo,Ukraine,neutral
1.51e+18,2022-04-08 15:55:45+00:00,ctcapitolreport,0,0,0,en,"'Give us some f*****g weapons please': US Army veteran, 47, who left Connecticut to join Ukraine's battle against Russia pleads for the West to send more military equipment and say 'if not, may as well bring body bags'... https://t.co/7quCpKlwk3",Ukraine,neutral
1.51e+18,2022-04-08 15:55:45+00:00,AlexKokcharov,0,0,0,en,"War crimes committed by invading #Russia|n forces in #Ukraine are just horrific.

These are just several crimes listed by Ukraine's Human Rights Ombundswoman Denisova: https://t.co/eP1E31bxKx",Ukraine,fear
1.51e+18,2022-04-08 15:55:45+00:00,RogertheGS,0,0,0,en,"@wgervais @travismkent Looks like my instinct was correct despite the ""well actually's"" (a special arrangement for an emeritus prof, Ukraine refugee, etc.) No matter what the reason, arrangements should not corrupt the competitive hiring procedure, and teaching should not be an uncompensated sideline.",Ukraine,approval
1.51e+18,2022-04-08 15:55:45+00:00,liamwes19,1,0,0,en,"Hello everyone, today I will be tweeting about some of the things that Simon Coveney will be talking about on the horrible situation happening in Ukraine. #jm4006 #tweetexcercisetwo",Ukraine,neutral
1.51e+18,2022-04-08 15:55:44+00:00,OKP12355600,0,0,0,en,"@EU_Justice @EUDELCoE Nazies terrorize own Ukrainian civilians. Men stopped and beaten up on the street. You can hear voice of a man asking ""Why you do it to us? Please explain us."", and voice of Nazi demanding to shout ""Glory to Ukraine!"". One man is striped and God knows what nazis will do to him 🤬 https://t.co/bV3hpLaZfj",Ukraine,neutral
1.51e+18,2022-04-08 15:55:44+00:00,YEASTY_COMMIE,0,0,0,en,"No Nazis in Ukraine guys ! Nothing to see here, please donate money to the armed forces of Ukraine https://t.co/jbORVfepRe https://t.co/O6WiG5D6Qv",Ukraine,neutral
1.51e+18,2022-04-08 15:55:44+00:00,gainesm,0,0,0,en,"@yesthatkarim @juliaioffe Putin’s Ukraine rhetoric is for obfuscation and support/cover, or did you not listen to his long rambling speech in which he went on about how Ukraine didn’t turn over assets when it left the USSR? 

There *is* a NatSec problem, but it ain’t about NATO proximity. Just sayin’.",Ukraine,neutral
1.51e+18,2022-04-08 15:55:44+00:00,mew_mew_ua,0,0,0,en,My new style @rihanna KISS KISS 💋 #Ukraine #nft #NFTs #nftcollector #NFTProject #NFT #NFTCollection #style #Metaverse #Rihanna       https://t.co/7m0wxLt6DE https://t.co/7ImkFfGxEC,Ukraine,neutral
1.51e+18,2022-04-08 15:55:44+00:00,Skhellter,0,0,0,en,@AkKano2000 he's gone full tankie about Ukraine. https://t.co/t7KajJSsdn,Ukraine,neutral
1.51e+18,2022-04-08 15:55:44+00:00,IloveTheReidOu1,0,0,0,en,"Higher food prices from Ukraine war will push up to 47 million people into acute hunger, UN says - The Globe and Mail just one more reason Putin is the Devil https://t.co/bzy8APiy0X",Ukraine,neutral
1.51e+18,2022-04-08 15:55:43+00:00,Krma4Karma,1,0,0,en,"⚡️🇺🇦After Stavnitser had given this information to the Armed Forces of Ukraine, they destroyed Russian equipment.
✊”I'll rebuild my house. We'll rebuild Ukraine. The main thing is saving Ukrainians, as many as we can.",Ukraine,neutral
